time/total_timesteps,time/fps,time/episodes,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,train/critic_loss,train/learning_rate,train/ent_coef_loss,train/n_updates,train/actor_loss,train/ent_coef,eval/mean_reward,eval/mean_ep_length
3982,51,648,-3.8641742200000007,77,6.39,0.9719775915145874,0.0003,-21.28881072998047,3881,-5.0898027420043945,0.31710368394851685,,
4010,51,652,-3.7750140300000004,77,6.35,1.2503490447998047,0.0003,-21.260303497314453,3909,-5.133047103881836,0.3144589066505432,,
4036,51,656,-3.7473222200000005,78,6.42,0.9479238986968994,0.0003,-21.485769271850586,3935,-5.440639495849609,0.3120323717594147,,
4070,51,660,-3.8361998800000006,78,6.5,1.0963243246078491,0.0003,-21.60255241394043,3969,-5.31265926361084,0.3088875412940979,,
4088,51,664,-3.7436337900000005,79,6.41,0.9684601426124573,0.0003,-21.746570587158203,3987,-5.0568413734436035,0.3072342574596405,,
4109,51,668,-3.5515879600000004,79,6.31,0.9896896481513977,0.0003,-21.535411834716797,4008,-5.136477470397949,0.3053188920021057,,
4134,51,672,-3.5542182499999995,80,6.31,1.22548508644104,0.0003,-21.77688980102539,4033,-4.998044967651367,0.30305904150009155,,
4157,51,676,-3.48146683,80,6.34,0.8768585324287415,0.0003,-22.0513916015625,4056,-4.858226776123047,0.3009962737560272,,
4182,51,680,-3.4209162699999998,81,6.32,1.1119472980499268,0.0003,-22.246021270751953,4081,-4.559150695800781,0.29876917600631714,,
4202,51,684,-3.3444971599999995,81,6.22,0.953416109085083,0.0003,-22.621164321899414,4101,-4.7339935302734375,0.29699650406837463,,
4233,51,688,-3.3088214799999998,82,6.24,0.8349781036376953,0.0003,-22.561647415161133,4132,-4.939265251159668,0.2942727506160736,,
4256,51,692,-3.1849043200000007,82,6.22,1.1466751098632812,0.0003,-22.592174530029297,4155,-4.977031707763672,0.2922704219818115,,
4286,51,696,-3.14113647,83,6.22,0.9669367074966431,0.0003,-22.495105743408203,4185,-4.566864013671875,0.2896721065044403,,
4308,51,700,-3.1071688899999996,83,6.19,0.8809115886688232,0.0003,-22.763381958007812,4207,-4.512801170349121,0.2877843677997589,,
4339,51,704,-3.0485859199999994,84,6.25,1.1890223026275635,0.0003,-23.048439025878906,4238,-4.776095390319824,0.28514355421066284,,
4360,51,708,-3.0555393999999994,84,6.17,0.9057596325874329,0.0003,-23.36771011352539,4259,-4.539817810058594,0.2833680510520935,,
4384,51,712,-2.9368112699999993,85,6.08,0.793893039226532,0.0003,-23.45052719116211,4283,-4.585151195526123,0.28135886788368225,,
4408,51,716,-2.85062428,85,6.16,0.794317364692688,0.0003,-23.176687240600586,4307,-4.3187103271484375,0.279369592666626,,
4430,51,720,-2.78305729,86,6.17,0.7946494221687317,0.0003,-23.062801361083984,4329,-4.864589691162109,0.2775585651397705,,
4464,51,724,-2.84801597,87,6.32,0.8127986192703247,0.0003,-23.672767639160156,4363,-4.411101341247559,0.27478542923927307,,
4493,51,728,-2.7701394000000006,87,6.36,0.8992581367492676,0.0003,-23.234270095825195,4392,-4.144416809082031,0.2724483013153076,,
4524,51,732,-2.75264772,88,6.4,0.8159499168395996,0.0003,-23.679367065429688,4423,-3.9529900550842285,0.2699812650680542,,
4559,51,736,-2.75930635,89,6.48,0.7460050582885742,0.0003,-23.598018646240234,4458,-4.027022361755371,0.26721444725990295,,
4577,51,740,-2.66216758,89,6.4,0.7688232660293579,0.0003,-23.859317779541016,4476,-3.7538044452667236,0.2658054828643799,,
4601,51,744,-2.6065984500000003,90,6.39,0.7249592542648315,0.0003,-24.338336944580078,4500,-4.236895561218262,0.26393404603004456,,
4623,51,748,-2.5680050800000003,90,6.41,0.7634271383285522,0.0003,-24.435701370239258,4522,-3.8360838890075684,0.26223087310791016,,
4658,50,752,-2.54924811,91,6.48,0.7696350812911987,0.0003,-24.334035873413086,4557,-3.924586772918701,0.25954166054725647,,
4682,50,756,-2.5238895099999996,91,6.46,0.7984590530395508,0.0003,-24.76595115661621,4581,-4.2652082443237305,0.2577230930328369,,
4704,50,760,-2.3957640700000002,92,6.34,0.807063102722168,0.0003,-24.6153564453125,4603,-4.124104022979736,0.25606074929237366,,
4735,50,764,-2.38767058,92,6.47,0.684963583946228,0.0003,-24.682004928588867,4634,-3.639400005340576,0.2537390887737274,,
4760,50,768,-2.37030264,93,6.51,0.7365587949752808,0.0003,-24.904766082763672,4659,-3.7581253051757812,0.25188392400741577,,
4792,50,772,-2.3213307599999995,94,6.58,0.6503496170043945,0.0003,-25.166431427001953,4691,-3.6839733123779297,0.2495294064283371,,
4820,50,776,-2.32413242,94,6.63,0.6482850313186646,0.0003,-25.393247604370117,4719,-3.4859626293182373,0.24748900532722473,,
4840,50,780,-2.35507089,95,6.58,0.7059859037399292,0.0003,-24.912761688232422,4739,-3.869202136993408,0.24604399502277374,,
4872,50,784,-2.4513217,95,6.7,0.7889535427093506,0.0003,-25.23162841796875,4771,-3.5128798484802246,0.2437446117401123,,
4896,50,788,-2.37981333,96,6.63,0.4531611204147339,0.0003,-25.110952377319336,4795,-3.8588171005249023,0.24203544855117798,,
4930,50,792,-2.3545546400000004,97,6.74,0.6657488346099854,0.0003,-25.54295539855957,4829,-3.684271812438965,0.23964020609855652,,
4958,50,796,-2.22848543,97,6.72,0.6825979948043823,0.0003,-25.247337341308594,4857,-3.25311279296875,0.23768456280231476,,
